id,timestamp,x_acel_l,y_acel_l,z_acel_l,x_gyro_l,y_gyro_l,z_gyro_l,x_mag_l,y_mag_l,z_mag_l,x_acel_r,y_acel_r,z_acel_r,x_gyro_r,y_gyro_r,z_gyro_r,x_mag_r,y_mag_r,z_mag_r
50,2024-12-01 20:04:07.192,-0.76,-0.04,0.11,-45.41,-77.7,8.85,8.72,13.57,19.24,-0.9,0.47,0.22,-11.47,14.47,20.32,24.46,10.79,26.82
51,2024-12-01 20:04:07.403,-1.58,0.2,1.21,-94.12,257.39,7.75,9.3,15.94,17.75,-1.03,-0.62,-0.09,75.5,-44.37,29.79,25.1,9.86,26.2
52,2024-12-01 20:04:07.814,-0.63,-0.05,-0.67,132.69,10.74,2.44,-1.62,15.37,24.83,-1.52,-0.1,-0.01,62.62,-2.99,-8.42,36.63,7.63,19.85
53,2024-12-01 20:04:08.032,-1.52,0.05,2.03,169.13,-36.32,79.65,1.93,14.49,23.44,-2.37,0.25,-0.87,75.62,181.21,110.72,33.2,4.5,22.62
54,2024-12-01 20:04:08.141,-0.89,0.33,-0.07,50.11,-105.71,9.16,7.36,11.87,20.57,-0.3,-0.06,-0.91,-171.2,-6.53,38.57,24.62,3.33,24.57
55,2024-12-01 20:04:08.450,-1.38,0.28,-0.21,-80.75,-2.56,11.78,11.02,12.98,16.87,-1.35,-0.08,-1.03,27.71,-31.62,26.61,26.5,8.17,25.96
56,2024-12-01 20:04:08.660,-0.83,0.09,-0.47,9.22,82.58,-54.44,2.48,17.55,21.86,-0.73,-0.13,-0.29,18.74,-122.56,-4.82,36.38,7.64,20.74
57,2024-12-01 20:04:08.978,-0.74,-0.74,1.72,1.95,-8.67,52.37,1.78,14.31,26.55,-2.07,0.16,-1.75,241.39,116.64,-7.08,35.69,5.47,20.28
58,2024-12-01 20:04:09.188,-0.8,0.11,-0.27,11.54,-141.6,29.85,9.52,11.87,20.03,-0.45,-0.23,-0.87,-43.15,68.79,22.58,27.19,1.67,24.96
59,2024-12-01 20:04:09.398,-1.14,-0.2,0.67,-32.17,-17.33,20.57,12.15,10.67,16.75,-0.36,-0.2,-1.42,-30.46,-46.75,-32.65,25.49,10.06,27.49
60,2024-12-01 20:04:09.708,-1.28,-0.49,-0.35,22.52,129.7,-90.82,3.23,16.48,19.29,-0.9,-0.06,-0.17,43.7,-123.72,15.99,31.7,6.88,24.69
