Timestamp,xAcel_L,yAcel_L,zAcel_L,xGyro_L,yGyro_L,zGyro_L,xMag_L,yMag_L,zMag_L,azimuth_L,xAcel_R,yAcel_R,zAcel_R,xGyro_R,yGyro_R,zGyro_R,xMag_R,yMag_R,zMag_R,azimuth_R
2024-11-10 20:56:10,-0.30,0.19,-0.52,79.35,4.46,-83.80,48.17,-7.57,18.60,352,-1.43,0.37,-0.23,-5.49,1.83,-5.68,36.99,22.88,11.28,31
2024-11-10 20:56:11,-0.89,0.50,-0.08,-59.27,-103.15,63.5,57.46,-10.80,16.88,350,0.08,-0.48,-0.20,-97.05,-56.34,22.03,26.15,23.69,20.39,42
2024-11-10 20:56:12,-2.32,2.66,4.00,-726.01,-163.33,109,53.08,-13.59,24.72,346,-0.59,-0.29,-0.21,95.34,86.24,31.37,24.39,17.98,20.62,36
2024-11-10 20:56:13,-1.43,0.07,0.18,-41.38,-8.06,38.64,54.59,-19.37,7.91,341,-0.55,0.08,-0.35,49.13,-66.53,-15.14,27.45,17.31,16.27,32
2024-11-10 20:56:14,-0.89,0.20,-0.10,-61.40,-94.79,17.15,50.40,-16.64,15.55,342,-0.44,0.21,-0.68,12.88,-53.16,-4.03,18.49,16.49,19.08,41
2024-11-10 20:56:15,-0.67,0.25,-0.27,-23.62,90.82,-116.7,45.57,-18.10,18.85,339,-1.36,0.56,0.14,88.56,145.32,-14.53,26.12,16.28,16.36,31
2024-11-10 20:56:16,-1.44,0.13,0.46,-11.17,194.15,76.97,50.95,-30.76,9.01,329,-0.87,0.08,-0.17,-20.57,-107.54,-24.23,23.47,15.60,18.69,33
2024-11-10 20:56:17,-0.41,0.15,0.16,-9.09,-32.71,-22.22,39.97,-17.48,19.20,337,-0.13,0.13,-0.54,-62.50,15.20,45.47,17.05,13.18,20.65,37
2024-11-10 20:56:18,-0.30,0.04,-0.55,113.83,-12.02,-54.6,42.58,-11.65,18.93,345,-1.37,0.06,-0.18,2.75,-5.49,-9.89,28.59,15.17,14.73,27
2024-11-10 20:56:19,-0.82,0.03,-0.08,-21.24,-77.03,0.18,47.09,-15.04,18.80,343,-0.66,-0.09,-0.49,-140.32,-30.52,13.12,19.90,15.49,21.04,37
